osm_type,osm_id,name,amenity,healthcare,facility_role,latitude,longitude
way,798869716,"W.O Higher Secondary School, Muttil",school,,school,,
way,799059625,Kattikettikal Centre Poomala,community_centre,,community_facility,,
way,799059626,Holy Cross Church - LC,place_of_worship,,place_of_worship,,
way,799281118,Community Health Centre Panamaram,hospital,hospital,hospital,,
way,799282620,"Community Health Centre, Meppady",hospital,hospital,hospital,,
way,799294053,"Main Center, PHC  Vazhavatta",hospital,hospital,hospital,,
way,799300017,Mariyamman Kovil,place_of_worship,,place_of_worship,,
way,799300978,Primary Health Centre Varadoor,hospital,hospital,hospital,,
way,799306961,Family Health Center Chethalayam,,yes,yes,,
way,802807529,Shree Ganesh Agencies,theatre,,theatre,,
way,802807533,Government Lower Primary School Meenangadi,school,,school,,
way,802807563,,place_of_worship,,place_of_worship,,
way,802821233,Purakkadi Temple,place_of_worship,,place_of_worship,,
way,802821251,St.Peter'S And St.Paul'S English Medium School,school,,school,,
way,802821253,,cafe,,cafe,,
way,802848035,Sndp Lkg And Ukg School,childcare,,childcare,,
way,802848048,Government Lower Primary School Appad,school,,school,,
way,802848107,Manikavu Siva Temple,place_of_worship,,place_of_worship,,
way,802880212,,place_of_worship,,place_of_worship,,
way,802939388,,school,,school,,
way,802939393,,place_of_worship,,place_of_worship,,
way,802984763,,place_of_worship,,place_of_worship,,
way,802991186,GHSS Kakkavayal,school,,school,,
way,802991738,,place_of_worship,,place_of_worship,,
way,803021807,Anganwadi,childcare,,childcare,,
way,803091924,gramapanchayath community hall,community_centre,,community_facility,,
way,803307122,Vijaya Bank Kakkavayal,bank,,bank,,
way,803343632,"Government High School, Kakkavayal",school,,school,,
